brand,model,model_year,list_price,color,configration,condition,body_type,wheel_config,transmission,fuel_type,mileage,carfax_link,vin_number,image_link,dealer_address
Bentley,Continental GTC,2007,79900,Blue,GTC Convertible|Accident Free|,Used,Convertible,All-wheel drive (AWD),Automatic,Other,94106,https://www.carproof.com/order?ref=kijiji&vin=SCBDR33W47C044426,SCBDR33W47C044426,https://i.ebayimg.com/00/s/MTA4MFgxNDQw/z/93wAAOSwAHRgcCDU/$_27.JPG,"2620 Saint Clair Avenue West, York, ON, M6N 1M1"
Other,Other,2011,15800,White,SE|Wheel Chair Accessibility|Leather|One Owner|,Used,Other,Rear-wheel drive (RWD),Automatic,Other,355614,https://www.carproof.com/order?ref=kijiji&vin=523MF1A69BM100242,523MF1A69BM100242,https://i.ebayimg.com/00/s/MTA4MFgxNDQw/z/SGQAAOSwtyVgbs3M/$_27.JPG,"2620 Saint Clair Avenue West, York, ON, M6N 1M1"
Volkswagen,Passat,2015,8800,Grey,HIGHLINE,Used,Sedan,Front-wheel drive (FWD),Automatic,Other,260684,https://www.carproof.com/order?ref=kijiji&vin=1VWCV7A38FC076053,1VWCV7A38FC076053,https://i.ebayimg.com/00/s/MTA4MFgxNDQw/z/RSEAAOSwto1gcCEi/$_27.JPG,"2620 Saint Clair Avenue West, York, ON, M6N 1M1"
Nissan,Titan,2013,22800,White,PRO-4X|Back Up Cam|Sunroof|Accident Free|,Used,Pickup Truck,4 x 4,Automatic,Other,114014,https://www.carproof.com/order?ref=kijiji&vin=1N6AA0EC2DN314842,1N6AA0EC2DN314842,https://i.ebayimg.com/00/s/MTA4MFgxNDQw/z/J0AAAOSwocZgbs59/$_27.JPG,"2620 Saint Clair Avenue West, York, ON, M6N 1M1"
Ram,3500,2015,54800,Black,Laramie|Lift Kit|One Owner|Accident Free|,Used,Pickup Truck,4 x 4,Automatic,Other,112599,https://www.carproof.com/order?ref=kijiji&vin=3C63R3MLXFG572844,3C63R3MLXFG572844,https://i.ebayimg.com/00/s/MTA4MFgxNDQw/z/bjgAAOSwEWZgcB~~/$_27.JPG,"2620 Saint Clair Avenue West, York, ON, M6N 1M1"
GMC,Canyon,2016,32900,Grey,SLT|One Owner|Accident Free|,Used,Pickup Truck,4 x 4,Automatic,Other,161471,https://www.carproof.com/order?ref=kijiji&vin=1GTP6DE17G1270675,1GTP6DE17G1270675,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/FMwAAOSw26Vgbs4k/$_27.JPG,"2620 Saint Clair Avenue West, York, ON, M6N 1M1"
Mitsubishi,Evolution,2011,22900,Black,Evolution MR|AWD|Sunroof|Leather|Navi|One Owner|Accident Free|,Used,Sedan,All-wheel drive (AWD),Automatic,Other,111511,https://www.carproof.com/order?ref=kijiji&vin=JA32W5FV0BU609736,JA32W5FV0BU609736,https://i.ebayimg.com/00/s/MTA4MFgxNDQw/z/jM0AAOSweHpgbs6T/$_27.JPG,"2620 Saint Clair Avenue West, York, ON, M6N 1M1"
GMC,Canyon,2009,10800,Red,SLE|Low Km|Accident Free|,Used,Pickup Truck,Rear-wheel drive (RWD),Automatic,Other,143320,https://www.carproof.com/order?ref=kijiji&vin=1GTCS19E498129000,1GTCS19E498129000,https://i.ebayimg.com/00/s/MTA4MFgxNDQw/z/1r4AAOSwq-tgbs49/$_27.JPG,"2620 Saint Clair Avenue West, York, ON, M6N 1M1"
Volkswagen,Golf,2018,18977,Black,1.8 TSI Trendline,Used,Wagon,All-wheel drive (AWD),,Gasoline,24673,https://www.carproof.com/order?ref=kijiji&vin=3VW117AU8JM765352,3VW117AU8JM765352,https://i.ebayimg.com/00/s/OTAwWDEyMDA=/z/fqEAAOSwg~BfCFA5/$_27.JPG,"4515-A Lloydtown-Aurora Rd, King, ON, L7B 0E1"
Mercedes-Benz,GLC,2019,59800,White,"AMG GLC43, NAV, PANO, CAM, AMG PKG, PREMIUM PKG",Used,"SUV, Crossover",Other,Automatic,Gasoline,14379,https://www.carproof.com/order?ref=kijiji&vin=WDC0G6EB3KF665879,WDC0G6EB3KF665879,https://i.ebayimg.com/00/s/OTYwWDEyNzg=/z/SMwAAOSwyOpgbof0/$_27.JPG,"60 Martin Ross Avenue, Toronto, ON, M3J 2L4"
Subaru,Other,2013,12900,Beige,2.0i w/Sport Pkg/Sunroof/Heated Seats,Used,Hatchback,All-wheel drive (AWD),Automatic,Gasoline,132884,https://www.carproof.com/order?ref=kijiji&vin=JF2GPAVC3D2820023,JF2GPAVC3D2820023,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/uCcAAOSwGQ1gcCUv/$_27.JPG,"4342 Steeles Ave West, Vaughn, ON, L4L 7H3"
Lexus,NX 200t,2016,25950,Beige,200T AWD Nav Leather Sunroof Backup Cam,Used,Other,All-wheel drive (AWD),Automatic,Gasoline,111000,https://reports.carproof.com/en/main?id=dRZC%2f7UwMYcpEyezboekxXYJu5k6etBR&ref=kijiji,,https://i.ebayimg.com/00/s/OTYwWDEyODA=/z/8RQAAOSw46RgcAlL/$_27.JPG,"1205 Finch Avenue West, Toronto, ON, M3J 2E8"
Mercury,Grand Marquis,1976,0,Off-White,,Used,Sedan,,Automatic,Gasoline,66000,,,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/w-IAAOSw73lgcETK/$_27.JPG,"Concord, ON L4K"
Jeep,Liberty,2005,2500,Blue,,Used,"SUV, Crossover",,Automatic,,200000,,,,"Scarborough, ON M1M 1P9"
Honda,Civic,2012,5800,,,Used,Sedan,,Automatic,,190000,,,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/EMEAAOSwOyZgcETF/$_27.JPG,"Scarborough, ON M1E 4M2"
Other,Other,2017,15450,Black,GT Navigation Leather Sunroof Backup Cam,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,43000,https://www.carproof.com/order?ref=kijiji&vin=472VD472,472VD472,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/eXIAAOSw84ZgcAl2/$_27.JPG,"1205 Finch Avenue West, Toronto, ON, M3J 2E8"
